<repo>\reproduction\src\modern_gpu.py:98: UserWarning: Sparse invariant checks are implicitly disabled. Memory errors (e.g. SEGFAULT) will occur when operating on a sparse tensor which violates the invariants, but checks incur performance overhead. To silence this warning, explicitly opt in or out. See `torch.sparse.check_sparse_tensor_invariants.__doc__` for guidance.  (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\aten\src\ATen\Context.cpp:855.)
  self.kernel = torch.sparse_coo_tensor(
2026-09-22 19:50:19,485 Actual-data GPU equivalence checks passed: max error 0.00146484375
2026-09-22 19:51:08,107 Seed 1 | epoch 5/100 | train 1.034309 | val 1.046360 | elapsed 2.3s
2026-09-22 19:51:08,562 Seed 1 | epoch 6/100 | train 1.040483 | val 1.039111 | elapsed 2.7s
2026-09-22 19:51:09,018 Seed 1 | epoch 7/100 | train 1.029608 | val 1.040215 | elapsed 3.2s
2026-09-22 19:51:09,474 Seed 1 | epoch 8/100 | train 1.031083 | val 1.041881 | elapsed 3.6s
2026-09-22 19:51:09,930 Seed 1 | epoch 9/100 | train 1.035741 | val 1.045134 | elapsed 4.1s
2026-09-22 19:51:10,390 Seed 1 | epoch 10/100 | train 1.033696 | val 1.027296 | elapsed 4.6s
2026-09-22 19:51:10,844 Seed 1 | epoch 11/100 | train 1.033272 | val 1.032932 | elapsed 5.0s
2026-09-22 19:51:11,298 Seed 1 | epoch 12/100 | train 1.038050 | val 1.034206 | elapsed 5.5s
2026-09-22 19:51:11,754 Seed 1 | epoch 13/100 | train 1.040682 | val 1.034447 | elapsed 5.9s
2026-09-22 19:51:12,205 Seed 1 | epoch 14/100 | train 1.038504 | val 1.030587 | elapsed 6.4s
2026-09-22 19:51:12,659 Seed 1 | epoch 15/100 | train 1.037546 | val 1.034389 | elapsed 6.8s
2026-09-22 19:51:13,118 Seed 1 | epoch 16/100 | train 1.035786 | val 1.027247 | elapsed 7.3s
2026-09-22 19:51:13,575 Seed 1 | epoch 17/100 | train 1.030249 | val 1.033679 | elapsed 7.7s
2026-09-22 19:51:14,037 Seed 1 | epoch 18/100 | train 1.035218 | val 1.035552 | elapsed 8.2s
2026-09-22 19:51:14,498 Seed 1 | epoch 19/100 | train 1.030527 | val 1.037832 | elapsed 8.7s
2026-09-22 19:51:14,957 Seed 1 | epoch 20/100 | train 1.034373 | val 1.041205 | elapsed 9.1s
